epoch,train_loss,test_loss,person,person_p,spearman,spearman_p,rmse
1,2.180044412612915,2.046445846557617,0.09092258774734119,4.176723289955091e-10,0.09346509282766007,1.3385238212735865e-10,1.8684096336364746
2,1.9006248712539673,1.973870038986206,0.08872852516566623,1.0881143792374157e-09,0.08943227930795708,8.023522498529531e-10,1.8078029155731201
3,1.8237888813018799,1.8872225284576416,0.09086577234131839,4.282803077338187e-10,0.08565635481147846,4.00329701066063e-09,1.7272013425827026
4,1.7477316856384277,1.7648789882659912,0.09363196205527256,1.240870788456401e-10,0.08622682399309838,3.153700905419791e-09,1.6278228759765625
5,1.644407033920288,1.6071579456329346,0.09355076934905152,1.2874828828843192e-10,0.0875456215239009,1.8062887097700345e-09,1.5070345401763916
6,1.5068038702011108,1.4417142868041992,0.09330677230101395,1.4380943002569033e-10,0.08708335354621254,2.198006687521171e-09,1.370850682258606
7,1.3610312938690186,1.2572888135910034,0.09206453676326709,2.5148043692734057e-10,0.08268914061788714,1.3507764548465252e-08,1.2373521327972412
8,1.1899967193603516,1.0701172351837158,0.09234874481382226,2.2143834293504421e-10,0.08136814854907234,2.2906914871859513e-08,1.1991479396820068
9,1.0133657455444336,0.8901252746582031,0.09355442211803533,1.2853495859050286e-10,0.0860304972889756,3.4241146379322347e-09,1.2780110836029053
10,0.8435225486755371,0.7569579482078552,0.09269208833489916,1.8979480335523637e-10,0.09020700290251686,5.721923026387564e-10,1.3984953165054321
11,0.7122063636779785,0.6998591423034668,0.08958647485794222,7.503092262989592e-10,0.08988102986326602,6.598860515826274e-10,1.5268311500549316
12,0.6291463375091553,0.698630690574646,0.08643123094819913,2.894268301660783e-09,0.09042864976735414,5.191708876394494e-10,1.6133015155792236
13,0.5947089195251465,0.7113249897956848,0.08068812688564657,2.99687680122592e-08,0.09175562859601978,2.886487091348961e-10,1.6145339012145996
14,0.5853719711303711,0.7279860377311707,0.07679794481304675,1.337504317113205e-07,0.09289657573674044,1.730950106497085e-10,1.6346920728683472
15,0.5957268476486206,0.807790994644165,0.07746345754590539,1.0407076319554067e-07,0.09305956878341493,1.6081999706176388e-10,1.7383778095245361
16,0.6033564805984497,0.7966061234474182,0.074582741904313,3.037836591700991e-07,0.09286071165392179,1.7591631687373606e-10,1.7208470106124878
17,0.5936368703842163,0.7453919649124146,0.07114381456516958,1.0377473083780186e-06,0.09075338336847576,4.500444003284812e-10,1.6538095474243164
18,0.5877058506011963,0.7427879571914673,0.07265621875712804,6.086632164190646e-07,0.08879414083841333,1.057745640312648e-09,1.646008014678955
19,0.5686608552932739,0.7377884387969971,0.07808319529215578,8.223433028965373e-08,0.08856039645659666,1.169859898556464e-09,1.651113748550415
20,0.5603232383728027,0.7037384510040283,0.08356700127598833,9.466477346757749e-09,0.0885943342928498,1.1528909967585665e-09,1.6019207239151
21,0.5484222173690796,0.677444577217102,0.08907078076944142,9.385450748188713e-10,0.08887875114110788,1.0198029135682519e-09,1.5251007080078125
22,0.5421486496925354,0.6722086668014526,0.09384265075153439,1.1274726492692609e-10,0.08974320528620616,7.007883616029684e-10,1.4712247848510742
