epoch,train_loss,test_loss,person,person_p,spearman,spearman_p,rmse
1,4.350041389465332,3.7130327224731445,0.09359492869618712,1.2619231459893668e-10,0.09635146949419068,3.5439734317705375e-11,1.8800337314605713
2,3.377351760864258,3.649930000305176,0.09547710615066676,5.3226668447168135e-11,0.09977209519205328,6.9714401781925405e-12,1.8611154556274414
3,3.231747627258301,3.6025233268737793,0.09636587213079156,3.5202026582791004e-11,0.09863293867493611,1.2055200518314611e-11,1.8386740684509277
4,3.140383243560791,3.5373313426971436,0.10012936915212937,5.8637171091639825e-12,0.0988031911144441,1.1112110258293173e-11,1.8139199018478394
5,3.0564615726470947,3.464911460876465,0.10385187896594716,9.32118266980566e-13,0.0992283127829827,9.061425398267279e-12,1.7837538719177246
6,2.969087839126587,3.3883495330810547,0.10603554220318424,3.073134381312829e-13,0.09861098169744066,1.2182394884649776e-11,1.7445160150527954
7,2.8778154850006104,3.3083596229553223,0.10564255661269029,3.758683312015981e-13,0.09586132129577077,4.453525137702294e-11,1.6926668882369995
8,2.78092622756958,3.2206995487213135,0.10262673680650011,1.7199042584417625e-12,0.0909526978010156,4.1215488925607464e-10,1.6252269744873047
9,2.672178268432617,3.1165823936462402,0.098559936720191,1.2483193046851773e-11,0.08540600906514961,4.442949346004647e-09,1.541348934173584
10,2.546865463256836,2.986994981765747,0.09551667865260183,5.225993092334499e-11,0.08137988633673156,2.280047976482838e-08,1.4454827308654785
11,2.4075372219085693,2.8237922191619873,0.09462965581104356,7.86738836337716e-11,0.0802469890018384,3.5634767939561135e-08,1.3489384651184082
12,2.2514569759368896,2.6254966259002686,0.0958283286087169,4.522352084951148e-11,0.08150606509739045,2.168620903235048e-08,1.2652928829193115
13,2.0749518871307373,2.4081645011901855,0.09800958182975508,1.622541205886949e-11,0.08370283881435496,8.956903187544936e-09,1.2116066217422485
14,1.886556625366211,2.197910785675049,0.09968435530233834,7.273400665177826e-12,0.0848944830437009,5.492122555454994e-09,1.213329553604126
15,1.7024588584899902,2.0180301666259766,0.10061297011375456,4.6348070024070475e-12,0.08512650266274377,4.989365708490614e-09,1.292778491973877
16,1.53777277469635,1.8780348300933838,0.10160852891718447,2.8460178889726663e-12,0.08553898689476447,4.20387333760199e-09,1.4254179000854492
17,1.3997457027435303,1.7749240398406982,0.10260340761781925,1.7399626097944755e-12,0.08717839871085487,2.1112436694439293e-09,1.5447025299072266
18,1.287290096282959,1.7128667831420898,0.10212498282237047,2.205769832663148e-12,0.08873778711490395,1.0837767424896187e-09,1.5970977544784546
19,1.202579379081726,1.6993497610092163,0.0979026253945374,1.707075982369799e-11,0.08707642947910435,2.2044613458808747e-09,1.5842424631118774
20,1.1473784446716309,1.7278317213058472,0.08953755131329673,7.664544268199965e-10,0.08300774339064657,1.1877627491176156e-08,1.5523085594177246
21,1.1210556030273438,1.776567816734314,0.08038729395711657,3.372853965229864e-08,0.07882982218888149,6.177410624847317e-08,1.5460169315338135
22,1.1123238801956177,1.815922737121582,0.07445579371413065,3.181866826975357e-07,0.07606143044360365,1.7613490891040596e-07,1.5634068250656128
23,1.104087471961975,1.8246630430221558,0.07469363910373464,2.917184499247867e-07,0.07617451455422942,1.68873232817556e-07,1.5908350944519043
24,1.0967439413070679,1.8153576850891113,0.0778714449286678,8.914267244550984e-08,0.07781674727221391,9.10165234594253e-08,1.6084859371185303
25,1.0910521745681763,1.7977471351623535,0.07973023217752809,4.3598272290274424e-08,0.07764657672764705,9.709329392249785e-08,1.5943523645401
26,1.0778799057006836,1.7774872779846191,0.08079389743620151,2.8746075834352244e-08,0.07589164295944283,1.8760743835112324e-07,1.55573570728302
27,1.0587570667266846,1.754366159439087,0.08390429132048177,8.249936400192848e-09,0.07492031680538541,2.6847932360381973e-07,1.5145984888076782
28,1.0419528484344482,1.7254230976104736,0.08940002726501023,8.136746065801521e-10,0.0753814451206338,2.265944204117048e-07,1.4827136993408203
29,1.0270686149597168,1.6939353942871094,0.09594458422272353,4.284351398299921e-11,0.0777318944915032,9.399910101065962e-08,1.4717122316360474
30,1.0129168033599854,1.6668733358383179,0.10227150203309895,2.0514466284290326e-12,0.08246830340227193,1.4763087150092166e-08,1.4932379722595215
31,1.0031976699829102,1.6569304466247559,0.1059819792649778,3.158786085860969e-13,0.08661582419959579,2.677920653842115e-09,1.5233588218688965
32,0.99866783618927,1.6668522357940674,0.1051998692680935,4.711577380028905e-13,0.08591599194982041,3.5921119963717333e-09,1.507507085800171
33,0.9884417057037354,1.6919814348220825,0.10072735832008745,4.3832984411171954e-12,0.08176140904040749,1.959066324920906e-08,1.4646774530410767
34,0.9734810590744019,1.7240544557571411,0.09453198880436683,8.227984494787161e-11,0.0768749643138445,1.2993623622156245e-07,1.4375630617141724
35,0.9604231119155884,1.7449878454208374,0.08953128521385123,7.685466115162357e-10,0.07391901769335762,3.867114554537951e-07,1.439300775527954
36,0.9493213891983032,1.7561839818954468,0.08603603040076187,3.4161933960614893e-09,0.07181642336222877,8.19611514840234e-07,1.455953598022461
37,0.9374638199806213,1.7724666595458984,0.08250616934142899,1.4540077862233357e-08,0.06816153110671569,2.881270153874241e-06,1.4717975854873657
38,0.9247898459434509,1.7903739213943481,0.07949179629380432,4.7830427082156716e-08,0.06367222429207495,1.2408784750998403e-05,1.4813768863677979
39,0.9120302200317383,1.81007981300354,0.07675643793983772,1.358506227742479e-07,0.05919901353529195,4.8510300676717e-05,1.480916976928711
40,0.898949146270752,1.8354421854019165,0.07369981910847323,4.1861105841905916e-07,0.05419965016526111,0.0001999597045944645,1.4690996408462524
