epoch,train_loss,test_loss,person,person_p,spearman,spearman_p,rmse
1,2.0934500694274902,1.7621352672576904,0.09309535087034766,1.5824133314618546e-10,0.09544746858398212,5.3962132394334643e-11,1.8743623495101929
2,1.6109447479248047,1.7278352975845337,0.09531914908905266,5.726272779527407e-11,0.09871751981894462,1.1577271820823261e-11,1.8468174934387207
3,1.5370372533798218,1.698578953742981,0.09675559153973544,2.933040495609435e-11,0.09737614195903338,2.1901976966510443e-11,1.8145430088043213
4,1.4871312379837036,1.6641405820846558,0.09854176638554821,1.2592012740726362e-11,0.09458053252879287,8.046781773210319e-11,1.7726316452026367
5,1.4387089014053345,1.6274631023406982,0.09989463535533738,6.570175124104848e-12,0.09111395852659863,3.8379410872531776e-10,1.7227660417556763
6,1.3878490924835205,1.5896170139312744,0.10016203090591079,5.771513787187771e-12,0.08667753277456414,2.609172192955661e-09,1.6646302938461304
7,1.3345370292663574,1.5495262145996094,0.09899113028339923,1.0154860266680068e-11,0.08167412821944454,2.0283828191807302e-08,1.5963804721832275
8,1.2788019180297852,1.5069434642791748,0.09717440082694154,2.4088200376052797e-11,0.0766364367043616,1.4210346273437708e-07,1.515242338180542
9,1.2212918996810913,1.4651882648468018,0.09601761881563263,4.1411465891659375e-11,0.07302508969459957,5.335391882827198e-07,1.4243117570877075
10,1.1688491106033325,1.4197863340377808,0.09691985239450875,2.7153252450885157e-11,0.07245841580915083,6.530450749615891e-07,1.3359488248825073
11,1.119475245475769,1.3651812076568604,0.10013377925576739,5.851183727759881e-12,0.07540524564076541,2.246133911235344e-07,1.2584537267684937
12,1.067097783088684,1.3005921840667725,0.10537253584618116,4.3145915938853764e-13,0.08166736240397454,2.0338543903417738e-08,1.1995700597763062
13,1.0105206966400146,1.2331581115722656,0.1113778435743946,1.848596997782466e-14,0.08991820015149059,6.492597489008236e-10,1.1668232679367065
14,0.9535692930221558,1.1760218143463135,0.11514010124717515,2.3518515160185727e-15,0.09606388991590935,4.052853271404558e-11,1.167196273803711
15,0.9029252529144287,1.1371822357177734,0.11412505400811432,4.1296386338929955e-15,0.09682993274704903,2.8324693917855198e-11,1.2007157802581787
16,0.8608533143997192,1.1108040809631348,0.11068523826473294,2.6820142705093882e-14,0.09450006754176266,8.349306737158171e-11,1.2485772371292114
17,0.8234331011772156,1.086641550064087,0.10731820635563799,1.5845540555169802e-13,0.09280126111427502,1.806923266243577e-10,1.2876901626586914
18,0.7858282327651978,1.0609211921691895,0.10455673281253532,6.531392170428024e-13,0.092315514758846,2.2476125669304465e-10,1.307945966720581
19,0.74744713306427,1.0345256328582764,0.10289417469564435,1.5055557438821791e-12,0.09289445269690612,1.7326078516749607e-10,1.3150759935379028
20,0.7126106023788452,1.011694312095642,0.10213931171874821,2.1901890470517286e-12,0.09345387772312487,1.3453497370409331e-10,1.3267027139663696
21,0.6860817670822144,0.9972306489944458,0.10104754331020996,3.748289335619562e-12,0.09264274759543017,1.9405418390879538e-10,1.3604212999343872
22,0.6663498878479004,0.9923267364501953,0.10033634500615449,5.30294100631785e-12,0.09136418495329109,3.435178014608501e-10,1.4276515245437622
23,0.6519240140914917,1.0010453462600708,0.09950832150484255,7.918371299584712e-12,0.08896829851857405,9.810916611282581e-10,1.509553074836731
24,0.6477392911911011,1.0118101835250854,0.09598576848839058,4.2030129825137237e-11,0.08465784459439182,6.055531598101537e-09,1.5367738008499146
25,0.6458406448364258,1.0215787887573242,0.08918657364070305,8.926352781075297e-10,0.07873626282511885,6.4037961586235e-08,1.5101913213729858
26,0.6426693797111511,1.0356602668762207,0.08241196653878985,1.510103841654906e-08,0.07284815327893066,5.683851281389155e-07,1.4869329929351807
27,0.6415376663208008,1.0445857048034668,0.07929830194568033,5.1555024914320796e-08,0.0682808834848742,2.768067715952228e-06,1.4826477766036987
28,0.6362894177436829,1.0457193851470947,0.07964611238356033,4.504818002397488e-08,0.06483132309454039,8.586926307312117e-06,1.487315058708191
29,0.6262270212173462,1.0447648763656616,0.08109120514340566,2.5562747117614694e-08,0.062074979326887436,2.0403022922343004e-05,1.4861955642700195
30,0.6160624027252197,1.0462043285369873,0.08126662621429938,2.3847833751224044e-08,0.05895230187936845,5.216036360029118e-05,1.4612044095993042
