real,predicted
L,a,m,b,d,a,:, ,1,.,0
1.0,1.1274477243423462
1.0,1.110106110572815
1.0,1.2002545595169067
1.0,0.9691140055656433
1.0,1.0546752214431763
1.0,1.501867651939392
1.0,1.5718774795532227
1.0,1.430525779724121
1.5333333015441895,1.4336799383163452
3.0,1.229432463645935
3.0,1.4724897146224976
3.0,1.3774112462997437
3.0,1.3536758422851562
3.0,1.5738364458084106
3.0,1.6396044492721558
2.4000000953674316,1.5653295516967773
2.0,1.710344672203064
2.0,1.4874720573425293
2.0,1.6278318166732788
2.0,1.545585036277771
2.0,1.5177921056747437
2.0,1.5239323377609253
2.0,1.5910276174545288
2.0,1.6229788064956665
2.0,1.5700607299804688
2.0,1.54145085811615
2.0,1.3933825492858887
2.0,1.4902024269104004
2.0,1.711377501487732
2.0,1.6927486658096313
2.0,1.5243991613388062
2.0,1.6398316621780396
2.0,1.6134804487228394
2.0,1.7704118490219116
2.0,1.720404028892517
2.0,1.69232177734375
2.0,1.7265220880508423
2.0,1.6229978799819946
2.0,1.6007038354873657
2.0,1.6544839143753052
2.0,1.5791209936141968
2.0,1.6257227659225464
2.933333396911621,1.7074486017227173
3.0,1.7057280540466309
3.0,1.926174521446228
3.5999999046325684,1.921919822692871
4.0,1.9059017896652222
4.0,1.7761459350585938
3.4666666984558105,1.7508258819580078
2.0,1.9374275207519531
2.0,1.7674199342727661
2.0,1.6176284551620483
1.0666667222976685,1.3875430822372437
1.0,1.694920539855957
1.0,1.810193419456482
1.0,1.8125470876693726
1.0,1.8440837860107422
1.0,1.8037090301513672
1.0,1.8379087448120117
1.0,1.5945700407028198
1.0,0.8626155853271484
1.0,1.112364411354065
1.0,1.2358354330062866
1.0,1.1789494752883911
1.0,1.2326613664627075
1.0,0.9786606431007385
1.0,0.8431129455566406
1.0,1.0510530471801758
1.0,0.8205100893974304
1.0,0.9065960049629211
1.0,1.0987763404846191
1.0,1.5941158533096313
1.0,1.535984992980957
1.5333333015441895,1.5634279251098633
3.0,1.6684244871139526
3.0,1.5222126245498657
3.0,1.5689796209335327
3.0,1.4151827096939087
3.0,1.5078200101852417
3.0,1.3947092294692993
3.0,1.2521390914916992
3.0,1.2651928663253784
3.0,1.2788163423538208
3.0,1.2537178993225098
3.0,1.2451534271240234
3.0,1.370527744293213
3.0,1.4020904302597046
3.0,1.393619418144226
3.0,1.3560758829116821
3.0,1.3229631185531616
3.0,1.3562310934066772
3.0,1.3355239629745483
3.0,1.385539174079895
3.0,1.4249080419540405
3.0,1.3708244562149048
3.0,1.3050165176391602
3.0,1.2858773469924927
3.933333396911621,1.2479170560836792
4.0,1.2870913743972778
4.0,1.2801752090454102
3.4000000953674316,1.3084242343902588
3.0,1.2941170930862427
3.0,1.4307265281677246
3.0,1.5187044143676758
3.0,1.4798169136047363
3.0,1.3438806533813477
3.0,1.3152422904968262
3.0,1.2856813669204712
3.0,1.3721752166748047
3.0,1.2900282144546509
1.7999999523162842,1.2940655946731567
1.0,1.2916067838668823
1.0,0.9806907773017883
1.2666666507720947,1.4332246780395508
2.0,1.4763802289962769
2.0,1.4528783559799194
2.0,1.4697850942611694
2.0,1.4807252883911133
2.0,1.473165512084961
2.0,1.462087631225586
2.0,1.4656100273132324
2.0,1.441370964050293
2.0,1.4419015645980835
2.0,1.21208918094635
2.0,1.101921558380127
