epoch,train_loss,test_loss,person,person_p,spearman,spearman_p,rmse
Lambda: 1.15
1,2.8430960178375244,3.0484914779663086,0.07864553937702493,6.630981696072029e-08,0.08399328471872447,7.955185764010121e-09,1.9468692541122437
2,2.7917418479919434,2.987233877182007,0.10986654538876663,4.151562922981801e-14,0.1054037154839094,4.246491301926242e-13,1.9499958753585815
3,2.7584590911865234,2.95139479637146,0.12909004692360748,6.188781969113323e-19,0.12199969104711375,4.5962029599113636e-17,1.9519000053405762
4,2.734712600708008,2.9298579692840576,0.1411826200685639,2.2613174641624783e-22,0.13301742165331842,5.122520039207825e-20,1.9529460668563843
5,2.7193241119384766,2.916393280029297,0.1485085652304281,1.3166307743781365e-24,0.13940415210515153,7.576890500507523e-22,1.953235387802124
6,2.707958936691284,2.9079689979553223,0.15274005136841082,5.966624850959053e-26,0.14275649017549963,7.655579265272448e-23,1.9529346227645874
7,2.6989545822143555,2.9023520946502686,0.15538843003597266,8.221157067492311e-27,0.14369302206478277,3.99528681349958e-23,1.952243685722351
8,2.69046688079834,2.898019313812256,0.15686230070575155,2.6869999789120313e-27,0.14312037818419893,5.9492813790698e-23,1.9511946439743042
9,2.6825320720672607,2.8965907096862793,0.15634401654887845,3.986493907309388e-27,0.14163906322333858,1.6538351315730488e-22,1.9497312307357788
10,2.6747286319732666,2.900851249694824,0.1518815831203546,1.1258524080915568e-25,0.13959512492821982,6.659284197116598e-22,1.9480094909667969
11,2.6674675941467285,2.908742666244507,0.14511352783059195,1.477612476206669e-23,0.13738693280505923,2.930279905522728e-21,1.9462904930114746
12,2.661841869354248,2.9157731533050537,0.13951536277632323,7.028338261221253e-22,0.13491622846766518,1.4945863880489633e-20,1.9450278282165527
13,2.656489372253418,2.9196245670318604,0.13669901003737567,4.626383378339924e-21,0.13222801075455082,8.504085369037312e-20,1.9445046186447144
14,2.650830030441284,2.9219226837158203,0.13535883017226547,1.1187125348901092e-20,0.12939377376590544,5.117857006691732e-19,1.9445171356201172
15,2.6451122760772705,2.923949718475342,0.13448441537194586,1.9808611473633613e-20,0.12646016120729503,3.1471279334033703e-18,1.944728970527649
