real,predicted
L,a,m,b,d,a,:, ,1,.,1,5
1.0,1.0869890451431274
1.0,1.1085290908813477
1.0,1.0194748640060425
1.0,0.5607917308807373
1.0,0.8405628800392151
1.0,2.0594654083251953
1.0,2.352011203765869
1.0,2.370459794998169
1.5333333015441895,1.783834457397461
3.0,1.8920258283615112
3.0,2.39690899848938
3.0,1.941329002380371
3.0,1.8749252557754517
3.0,2.6930992603302
3.0,2.53833270072937
2.4000000953674316,2.3786838054656982
2.0,2.9188194274902344
2.0,1.7000101804733276
2.0,2.617053270339966
2.0,2.449519395828247
2.0,2.1355650424957275
2.0,2.038590669631958
2.0,2.4773733615875244
2.0,2.4314069747924805
2.0,1.91690194606781
2.0,1.7605434656143188
2.0,1.1374614238739014
2.0,1.704442024230957
2.0,3.110119104385376
2.0,2.7067697048187256
2.0,2.3572354316711426
2.0,2.7190723419189453
2.0,2.7373721599578857
2.0,3.1841793060302734
2.0,2.782904863357544
2.0,2.9261245727539062
2.0,2.8612022399902344
2.0,2.9364407062530518
2.0,2.787557363510132
2.0,3.192497491836548
2.0,2.5453763008117676
2.0,2.820361852645874
2.933333396911621,2.9725723266601562
3.0,2.966485023498535
3.0,3.4828102588653564
3.5999999046325684,3.414130926132202
4.0,3.091230630874634
4.0,2.712970018386841
3.4666666984558105,3.1301565170288086
2.0,3.6702890396118164
2.0,3.2185137271881104
2.0,2.2033514976501465
1.0666667222976685,1.7610187530517578
1.0,3.110152244567871
1.0,3.2652089595794678
1.0,3.113327980041504
1.0,3.6305198669433594
1.0,3.0873546600341797
1.0,3.17504620552063
1.0,2.291640281677246
1.0,0.949692964553833
1.0,1.3324834108352661
1.0,1.745522141456604
1.0,1.1298152208328247
1.0,1.40072500705719
1.0,0.5972476601600647
1.0,0.377526193857193
1.0,0.547885537147522
1.0,0.20064562559127808
1.0,0.23145030438899994
1.0,0.35576602816581726
1.0,1.9887458086013794
1.0,2.3972349166870117
1.5333333015441895,1.8552197217941284
3.0,2.0794034004211426
3.0,2.198523998260498
3.0,2.157437562942505
3.0,1.5840500593185425
3.0,1.7134828567504883
3.0,0.8199970126152039
3.0,0.505850076675415
3.0,0.46394768357276917
3.0,0.598638117313385
3.0,0.5952441096305847
3.0,0.5118660926818848
3.0,0.9393748641014099
3.0,0.9713900685310364
3.0,0.9682596325874329
3.0,0.930742084980011
3.0,0.9058713912963867
3.0,0.8536019325256348
3.0,0.8671318888664246
3.0,0.8423402309417725
3.0,1.2115439176559448
3.0,0.7170085906982422
3.0,0.6730784773826599
3.0,0.5593442916870117
3.933333396911621,0.5415857434272766
4.0,0.6112844347953796
4.0,0.5971723198890686
3.4000000953674316,0.6961102485656738
3.0,0.6241679787635803
3.0,1.6911497116088867
3.0,2.4278316497802734
3.0,1.5199800729751587
3.0,1.39053475856781
3.0,0.9214817881584167
3.0,0.7893176078796387
3.0,1.1396963596343994
3.0,0.8398744463920593
1.7999999523162842,0.7286378741264343
1.0,0.899683952331543
1.0,0.38173428177833557
1.2666666507720947,1.6072187423706055
2.0,1.6964250802993774
2.0,1.6075377464294434
2.0,1.6911020278930664
2.0,1.7268695831298828
2.0,1.6606059074401855
2.0,1.6234277486801147
2.0,1.6415047645568848
2.0,1.5465751886367798
2.0,1.6579179763793945
2.0,1.2257895469665527
2.0,0.8379510045051575
2.0,0.4030386507511139
2.0,0.5744247436523438
2.0,0.739128589630127
2.0,0.24090826511383057
2.0,0.22456447780132294
2.0,2.3475492000579834
2.0,1.7421127557754517
2.0,1.4663772583007812
1.7333333492279053,1.863774299621582
1.0,0.5807555317878723
1.0,1.9457286596298218
1.0,1.3504735231399536
1.0,0.5623086094856262
1.0,0.6227359771728516
1.0,0.39102903008461
1.600000023841858,2.171339988708496
2.0,1.2029868364334106
2.0,1.210349202156067
2.0,1.3864604234695435
2.0,1.2283271551132202
2.0,1.3784555196762085
2.0,1.4184986352920532
1.0666667222976685,1.7885602712631226
1.0,1.8107744455337524
1.0,1.5898557901382446
1.600000023841858,1.0789257287979126
2.0,2.6722252368927
2.0,3.195300817489624
2.0,3.4924793243408203
2.0,3.445889472961426
2.0,3.255666732788086
2.0,2.8789403438568115
2.933333396911621,1.6807069778442383
3.0,1.8582334518432617
3.0,2.8874428272247314
2.4000000953674316,3.000843048095703
2.0,2.711615800857544
2.0,2.4827144145965576
2.0,2.1372382640838623
2.0,2.122019052505493
2.0,2.1786115169525146
2.0,2.111602783203125
2.0,2.084988832473755
2.0,2.156040906906128
2.0,2.295795202255249
1.399999976158142,2.2601869106292725
1.0,1.545627236366272
1.0,0.4411519467830658
1.0,3.1424968242645264
1.0,3.920372724533081
1.0,4.010204315185547
1.0,3.8694889545440674
1.0,3.4573428630828857
1.0,3.6724445819854736
1.0,3.6114559173583984
1.0,3.8302860260009766
1.0,1.333158016204834
1.0,0.7039589285850525
2.066666603088379,1.070848822593689
5.0,1.861732840538025
5.0,3.4221622943878174
5.0,3.7918994426727295
5.0,2.853433609008789
5.0,3.482027769088745
5.0,2.7300937175750732
5.0,3.0244369506835938
5.0,2.6943893432617188
5.0,2.847930669784546
5.0,2.747941017150879
5.0,3.2143144607543945
5.0,2.735187530517578
5.0,3.122433662414551
1.2666666507720947,3.268012285232544
1.0,0.9175741076469421
1.0,1.6627000570297241
1.0,1.4555801153182983
1.0,1.684282898902893
1.0,1.8429155349731445
1.0,2.5175254344940186
1.0,2.394493341445923
1.0,1.8679786920547485
1.0,3.2934999465942383
1.0,3.790269613265991
1.0,3.654857635498047
1.0,3.004049301147461
1.0,3.1155693531036377
1.0,3.0338971614837646
1.0,3.12959885597229
1.0,2.434211492538452
1.0,2.5663583278656006
1.0,1.8593659400939941
1.0,2.4017333984375
1.0,2.216463327407837
1.0,2.9405720233917236
1.0,3.2991933822631836
1.0,3.4975273609161377
1.0,3.1964194774627686
1.0,3.1284730434417725
1.0,2.6956794261932373
1.0,2.4707882404327393
1.0,2.6043686866760254
1.0,1.7591603994369507
1.0,0.5245551466941833
1.0,0.29039859771728516
1.0,0.6140419840812683
1.0,0.7407423853874207
1.0,0.9040480256080627
1.0,0.9787096977233887
1.2666666507720947,1.2065128087997437
2.0,0.6707687973976135
2.0,0.29123255610466003
2.0,0.3297363817691803
2.0,1.2638592720031738
2.0,0.6400087475776672
2.0,0.5221185684204102
1.399999976158142,0.5169094204902649
1.0,0.7024279236793518
1.0,0.7310730814933777
1.2666666507720947,0.6407320499420166
2.0,0.5606027245521545
2.0,0.503826379776001
2.0,0.38707026839256287
1.0666667222976685,0.3770349323749542
1.0,0.3418601453304291
1.0,0.27837425470352173
1.600000023841858,1.1927813291549683
2.0,0.4948706328868866
2.0,0.4672377407550812
2.0,0.4468613564968109
2.0,0.39596498012542725
2.0,0.535012423992157
2.0,0.36313381791114807
3.866666555404663,0.7796406745910645
4.0,0.5364725589752197
4.0,0.7620895504951477
2.200000047683716,1.4982396364212036
1.0,1.553761601448059
1.0,0.9548417925834656
1.0,1.4304593801498413
1.0,1.8491860628128052
1.0,2.0298566818237305
1.0,2.6620237827301025
1.0,2.6390557289123535
1.0,2.6361501216888428
1.0,2.032057523727417
1.0,3.062211275100708
1.0,2.7684929370880127
1.0,2.0579729080200195
1.0,2.0500986576080322
1.0,1.0513591766357422
1.0,0.24539370834827423
1.0,0.19366662204265594
1.9333332777023315,0.3398836553096771
2.0,0.254131942987442
2.0,0.24349580705165863
1.399999976158142,0.3052017092704773
1.0,0.24820476770401
1.0,1.3090428113937378
1.0,2.262996196746826
1.0,1.7289963960647583
1.0,1.0718244314193726
1.0,0.3313112258911133
1.9333332777023315,0.3593759536743164
2.0,0.4633045196533203
2.0,1.43939208984375
3.200000047683716,1.4307342767715454
4.0,1.7709852457046509
4.0,1.7536964416503906
3.4666666984558105,1.3866866827011108
2.0,1.361531138420105
2.0,1.4128378629684448
2.0,1.3470453023910522
2.933333396911621,1.203253149986267
3.0,1.7656755447387695
3.0,1.7844797372817993
1.7999999523162842,1.961647629737854
1.0,2.874479055404663
1.0,2.5621938705444336
1.2666666507720947,2.267174005508423
2.0,1.769160270690918
2.0,1.8051223754882812
2.0,1.8196344375610352
2.933333396911621,2.4427754878997803
3.0,1.0166395902633667
3.0,1.7378743886947632
3.0,1.6170963048934937
3.0,1.2842801809310913
3.0,1.6536577939987183
3.0,2.0456478595733643
3.0,1.6260625123977661
3.0,2.218693971633911
3.0,2.456773281097412
1.1333333253860474,2.0755527019500732
1.0,1.5243607759475708
1.0,1.1569448709487915
1.0,1.3626655340194702
1.0,1.2008674144744873
1.0,2.16748309135437
1.5333333015441895,1.6664272546768188
3.0,1.5835241079330444
3.0,1.8150043487548828
3.0,1.2296959161758423
3.0,1.6050952672958374
3.0,1.4382381439208984
3.0,2.3282463550567627
3.0,2.3405168056488037
3.0,2.693267822265625
3.0,2.0105502605438232
3.2666666507720947,2.137627124786377
4.0,1.9169141054153442
4.0,1.8037711381912231
4.0,1.674435019493103
1.2000000476837158,1.6492767333984375
1.0,2.389336109161377
1.0,2.3988049030303955
2.799999952316284,2.8787147998809814
4.0,3.1496078968048096
4.0,2.8931357860565186
3.200000047683716,2.9086227416992188
1.0,2.398073673248291
1.0,0.9555320739746094
1.0,0.5735734105110168
1.0,1.0435196161270142
1.0,0.8326277732849121
1.0,0.9162716865539551
1.600000023841858,1.8523569107055664
2.0,0.5642654895782471
2.0,0.6705686450004578
2.0,0.6165404915809631
2.0,1.0788294076919556
2.0,1.222580075263977
2.0,0.7471025586128235
2.0,0.8399362564086914
2.0,1.5083526372909546
2.0,2.9668028354644775
1.399999976158142,2.2757041454315186
1.0,2.2687437534332275
1.0,2.1990883350372314
1.7999999523162842,2.0236661434173584
4.0,1.651178240776062
4.0,2.039090871810913
4.0,2.7228357791900635
4.0,2.0033345222473145
4.0,1.9408516883850098
4.0,2.089582920074463
4.0,1.8144723176956177
4.0,1.7716706991195679
4.0,1.3791790008544922
4.0,1.2352893352508545
4.0,1.0119537115097046
4.0,1.3271214962005615
4.0,1.4572385549545288
1.2000000476837158,0.5755478739738464
1.0,0.6054864525794983
1.0,0.35593438148498535
1.0,0.36266055703163147
1.0,0.31762203574180603
1.0,0.2775343358516693
1.2666666507720947,0.1976316124200821
2.0,1.3188518285751343
2.0,1.4028400182724
2.0,1.324416995048523
2.933333396911621,1.662911057472229
3.0,2.0042192935943604
3.0,1.3043018579483032
3.0,1.271643042564392
3.0,1.4087644815444946
3.0,1.6988730430603027
3.0,1.4792146682739258
3.0,1.3628886938095093
3.0,1.2030699253082275
3.0,1.2972939014434814
3.0,1.7755317687988281
3.0,1.3981040716171265
3.0,1.4794429540634155
3.0,1.4147971868515015
3.0,1.135486125946045
3.0,1.3931611776351929
2.4666666984558105,1.6474226713180542
1.0,1.0782259702682495
1.0,1.4930747747421265
1.0,1.725860595703125
1.0,2.6818654537200928
1.0,2.176070213317871
1.0,1.1238279342651367
1.600000023841858,1.5173139572143555
2.0,1.1804472208023071
2.0,1.6252098083496094
2.2666666507720947,1.998846173286438
3.0,1.7184163331985474
3.0,1.6320022344589233
3.0,1.954384446144104
1.1333333253860474,2.939425468444824
1.0,1.9962698221206665
1.0,2.1052370071411133
1.0,2.2298061847686768
1.0,1.7618802785873413
1.0,1.0372697114944458
1.0,0.9321922659873962
1.0,1.5259310007095337
1.0,1.243142008781433
1.0,1.063883900642395
1.0,1.337562918663025
1.0,1.488364338874817
1.0,2.6884841918945312
1.0,2.9869439601898193
1.0,2.574896812438965
1.0,2.3354899883270264
1.0,1.5511411428451538
1.0,1.4995766878128052
1.0,1.4190698862075806
1.0,2.4507687091827393
1.0,0.8346664309501648
1.0,0.6120729446411133
1.0,0.645639955997467
1.0,1.4123064279556274
1.0,2.0826189517974854
1.0,2.1738526821136475
1.0,2.874011754989624
1.0,1.5815168619155884
1.0,2.107536554336548
1.0,2.0935845375061035
1.0,2.4490487575531006
1.0,2.9682209491729736
1.0,3.9329612255096436
1.600000023841858,3.2668094635009766
2.0,2.6249048709869385
2.0,2.5840342044830322
1.7333333492279053,2.7975685596466064
1.0,3.083880662918091
1.0,2.5711324214935303
1.0,3.1092469692230225
1.0,0.8465942740440369
1.0,0.5839831829071045
1.0,0.44213736057281494
1.0,0.5828160643577576
1.0,0.464682936668396
1.0,0.4741086959838867
1.0,0.629370391368866
1.0,0.5779314637184143
1.0,0.40098392963409424
1.0,0.366131454706192
1.0,0.4206869602203369
1.0,0.4966927468776703
1.0,0.8201713562011719
1.0,0.6695970892906189
1.0,0.613325297832489
1.0,0.6727114319801331
1.0,0.6842706799507141
1.0,0.9633758664131165
1.0,0.9543308615684509
1.0,1.3272782564163208
1.0,1.211363434791565
1.0,1.4587712287902832
1.0,1.3684163093566895
1.0,1.4110857248306274
1.0,1.2603765726089478
1.0,1.2129015922546387
1.0,1.7443952560424805
1.0,1.1022447347640991
1.0,3.0454442501068115
1.0,2.643096446990967
1.0,2.5654456615448
1.0,2.220757007598877
1.0,2.297229528427124
1.600000023841858,2.1859207153320312
2.0,2.3392982482910156
2.0,1.8759031295776367
1.7333333492279053,1.8799504041671753
1.0,2.299259901046753
1.0,2.1745765209198
1.0,2.2098400592803955
1.0,2.586383819580078
1.0,2.263838768005371
1.0,1.841285228729248
1.0,2.0098283290863037
1.0,2.277862787246704
1.0,2.190702199935913
1.2666666507720947,2.095593214035034
2.0,2.1500537395477295
2.0,2.413210153579712
2.0,2.877671003341675
1.0666667222976685,2.1296308040618896
1.0,2.2761154174804688
1.0,1.8028875589370728
1.600000023841858,1.7059329748153687
2.0,1.4135122299194336
2.0,1.7339674234390259
1.7333333492279053,2.0715227127075195
1.0,1.4868894815444946
1.0,1.8881431818008423
1.0,1.9049248695373535
1.0,2.159435749053955
1.0,0.3390079736709595
1.0,0.3704075813293457
1.0,0.3320547938346863
1.0,0.278533399105072
1.0,0.2925315499305725
1.0,0.3351462781429291
1.0,0.30110687017440796
1.0,0.30721792578697205
1.0,0.3056114912033081
1.0,0.31398534774780273
1.0,0.23449648916721344
1.0,0.20236770808696747
1.0,0.2042919397354126
1.0,0.3009345233440399
1.0,0.25632351636886597
1.0,0.24764825403690338
1.0,0.35874029994010925
1.0,0.31821101903915405
1.0,0.21044950187206268
1.0,0.21651427447795868
1.0,0.22551585733890533
1.0,0.25106877088546753
1.0,0.24517764151096344
1.0,0.2549353241920471
1.0,0.344156414270401
1.0,0.224397674202919
1.0,0.35860517621040344
1.0,0.39507198333740234
1.0,0.24684558808803558
1.0,0.7314252257347107
1.0,0.6354419589042664
1.0,0.6349227428436279
1.0,0.6803129315376282
1.0,0.7989746928215027
1.0,0.40258368849754333
1.0,0.8105473518371582
1.0,2.9613635540008545
2.0,2.7500152587890625
2.0,2.475595474243164
2.0,2.3829076290130615
2.0,3.0311672687530518
2.0,3.522738218307495
2.0,3.815000534057617
2.0,3.5750045776367188
2.0,3.822296142578125
1.0,3.846327543258667
1.0,3.803766965866089
1.0,2.992253065109253
1.0,2.351226806640625
1.0,2.2659542560577393
1.0,2.5318610668182373
1.0,1.5436477661132812
1.0,0.9776776432991028
1.0,1.5324487686157227
1.0,1.6717190742492676
1.0,1.3466914892196655
1.0,1.536837100982666
1.0,1.8632465600967407
1.0,2.9274165630340576
1.0,3.0371170043945312
1.0,2.4596524238586426
1.0,2.1367108821868896
1.0,2.0305869579315186
1.0,2.1936614513397217
1.0,2.125784158706665
1.0,1.1542919874191284
1.0,1.0329710245132446
1.0,0.6921610236167908
1.0,0.7737383842468262
1.0,1.576314926147461
1.0,1.0178771018981934
1.0,1.0684722661972046
1.0,1.7013200521469116
1.0,1.446048378944397
1.0,2.1936278343200684
1.0,2.5468485355377197
1.0,2.93375301361084
2.0,3.1592071056365967
2.0,3.5093252658843994
2.0,2.466629981994629
2.0,1.7719448804855347
2.0,2.551126718521118
2.0,2.99204421043396
2.0,3.575725555419922
2.0,3.0924816131591797
4.0,3.221789598464966
4.0,2.9540836811065674
4.0,2.235123872756958
4.0,2.1053850650787354
4.0,2.2048728466033936
4.0,2.5750112533569336
4.0,2.2931406497955322
4.0,2.1445419788360596
4.0,2.349438428878784
4.0,1.8757705688476562
4.0,1.990128517150879
4.0,2.2583725452423096
4.0,2.1972010135650635
4.0,2.3938863277435303
4.0,2.4280264377593994
3.799999952316284,2.289018392562866
1.0,2.5456912517547607
1.0,2.63472843170166
1.0,2.9594733715057373
1.0,2.6027791500091553
1.0,3.042799949645996
1.0,2.55246901512146
1.0,3.2263622283935547
1.1333333253860474,3.3911285400390625
3.0,3.3675496578216553
3.0,3.00286602973938
3.0,2.0697851181030273
3.0,2.2858238220214844
3.0,2.1966707706451416
3.0,1.2010622024536133
3.0,1.0876516103744507
3.0,1.0977407693862915
3.0,0.6916701793670654
3.0,0.8969447016716003
3.0,0.9075482487678528
3.0,0.7329912781715393
3.0,0.4874976575374603
3.0,0.3822425901889801
3.0,0.7699775099754333
3.0,0.5689166188240051
3.0,0.5506946444511414
3.0,0.702924907207489
3.0,0.3788363039493561
3.0,0.508584201335907
3.0,0.5696989893913269
3.0,0.6440818905830383
3.0,0.6927781105041504
3.066666603088379,0.8536052703857422
4.0,2.4154701232910156
4.0,2.52955961227417
4.0,2.853440999984741
4.0,2.2708053588867188
4.0,2.229606866836548
4.0,2.09574294090271
4.0,2.010465383529663
3.866666555404663,1.5854986906051636
2.0,2.187150239944458
2.0,2.7623281478881836
2.0,2.341331958770752
1.9333332777023315,2.564704418182373
1.0,2.5431408882141113
1.0,2.629774570465088
1.0,1.8571518659591675
1.0,1.8309115171432495
1.0,1.8914746046066284
1.0,1.7175946235656738
1.0,1.6643129587173462
1.0,1.6821552515029907
1.0,1.8217391967773438
1.0,1.6274476051330566
1.0,1.705609679222107
1.0,1.8737239837646484
1.0,2.3443591594696045
1.0,1.0833685398101807
1.0,1.0476487874984741
1.0666667222976685,1.4620808362960815
2.0,1.2695142030715942
2.0,1.639045238494873
2.0,1.7159610986709595
1.8666666746139526,1.7380571365356445
1.0,1.6056410074234009
1.0,1.6613401174545288
1.0,1.6957067251205444
1.0,1.894871711730957
1.0,1.8397126197814941
1.0,1.7462469339370728
1.0,1.7239657640457153
1.0,1.634740948677063
1.0,1.9229713678359985
1.0,1.6764074563980103
1.0,2.088090181350708
1.1333333253860474,2.104008436203003
2.0,0.2709437310695648
2.0,0.22731930017471313
2.0,0.2762390077114105
2.0,0.3033316135406494
2.0,0.3018549084663391
2.0,0.23683637380599976
2.0,0.6875573992729187
2.0,0.6263107657432556
2.0,0.5122976303100586
2.0,0.689642608165741
2.0,0.6366190910339355
2.0,0.8193936347961426
2.0,0.920147180557251
2.0,1.2545127868652344
2.0,1.71024751663208
2.0,1.1816648244857788
2.0,3.40594220161438
2.0,2.8057823181152344
2.0,2.286374807357788
1.8666666746139526,2.5284759998321533
1.0,2.7918598651885986
1.0,2.17852783203125
1.0,1.937413215637207
1.0,2.3922455310821533
1.0,2.149027109146118
1.0,1.863808035850525
1.0,1.927825927734375
1.2666666507720947,1.9546672105789185
3.0,2.9923832416534424
3.0,3.888005018234253
3.0,3.507080078125
2.7333333492279053,3.2556779384613037
1.0,2.892451047897339
1.0,2.8549258708953857
1.0,2.1731793880462646
1.2666666507720947,2.234332799911499
3.0,1.8123916387557983
3.0,1.4291869401931763
3.0,1.573562741279602
3.0,1.6624740362167358
3.0,1.2777073383331299
3.0,1.1280535459518433
3.0,1.1713069677352905
3.133333444595337,0.7758881449699402
4.0,2.289313554763794
4.0,3.026174545288086
4.0,2.9707157611846924
3.7333333492279053,3.160776138305664
2.0,4.0616679191589355
2.0,4.168388366699219
2.0,3.2136924266815186
2.0,3.366790771484375
2.0,4.319155216217041
2.0,4.035216808319092
2.0,3.538843870162964
2.5999999046325684,4.0709662437438965
5.0,3.679422378540039
5.0,3.873845338821411
5.0,3.7428576946258545
5.0,3.9484481811523438
5.0,3.483443021774292
5.0,3.5283281803131104
5.0,3.77738881111145
5.0,3.8079936504364014
5.0,3.242267608642578
5.0,3.0710041522979736
5.0,2.957277297973633
4.599999904632568,2.460206985473633
3.0,2.438777446746826
3.0,2.3854846954345703
3.0,2.2989540100097656
2.5999999046325684,2.942009210586548
1.0,3.002166509628296
1.0,2.944126844406128
1.0,2.7615890502929688
1.0,2.844278335571289
1.0,2.869480848312378
1.0,3.200582504272461
1.0,3.301546335220337
1.0,3.2108726501464844
1.0,2.763681650161743
1.0,2.4384899139404297
1.0,2.7463388442993164
1.0,2.8243026733398438
1.0,2.062375068664551
1.0,1.8037910461425781
1.0,1.818924903869629
1.0,1.8302158117294312
1.0,1.7868661880493164
1.0,1.7616195678710938
1.0,1.7841796875
1.0,1.5060248374938965
1.0,1.5897048711776733
1.0,1.887707233428955
1.0,1.7975496053695679
1.399999976158142,2.070786237716675
3.0,2.707148790359497
3.0,2.476699113845825
3.0,2.085585832595825
3.0,2.3231263160705566
3.0,2.1652848720550537
3.0,2.4147722721099854
3.0,1.9570165872573853
3.0,2.0296785831451416
3.0,2.317246913909912
3.0,2.531420946121216
3.0,2.355522632598877
3.0,2.131593704223633
3.0,2.1955313682556152
3.0,2.23929500579834
3.0,2.0359907150268555
2.799999952316284,1.964456558227539
2.0,2.041091203689575
2.0,2.301990509033203
2.0,2.344322919845581
