real,predicted
1.0,0.39169439673423767
1.0,0.4069143831729889
1.0,0.4033537805080414
1.0,0.39078840613365173
1.0,0.3968542814254761
1.0,0.4138568639755249
1.0,0.4156741201877594
1.0,0.40102195739746094
1.5333333015441895,0.406012624502182
3.0,0.3956008851528168
3.0,0.40022826194763184
3.0,0.39954233169555664
3.0,0.39904189109802246
3.0,0.4058040678501129
3.0,0.4101697504520416
2.4000000953674316,0.403965562582016
2.0,0.4154181480407715
2.0,0.3948056697845459
2.0,0.419976145029068
2.0,0.4035241901874542
2.0,0.4050517976284027
2.0,0.3975191116333008
2.0,0.41699230670928955
2.0,0.3981289565563202
2.0,0.39804306626319885
2.0,0.3979169428348541
2.0,0.39548349380493164
2.0,0.3997775614261627
2.0,0.42129358649253845
2.0,0.4177190363407135
2.0,0.4052928388118744
2.0,0.41299009323120117
2.0,0.4094421863555908
2.0,0.42243823409080505
2.0,0.4213360846042633
2.0,0.4262268543243408
2.0,0.42674073576927185
2.0,0.42499813437461853
2.0,0.42413330078125
2.0,0.4185302257537842
2.0,0.4229762852191925
2.0,0.4131651818752289
2.933333396911621,0.41866588592529297
3.0,0.411705881357193
3.0,0.42637261748313904
3.5999999046325684,0.42121925950050354
4.0,0.4036494791507721
4.0,0.4149007797241211
3.4666666984558105,0.4183613061904907
2.0,0.43454214930534363
2.0,0.4307835102081299
2.0,0.41049304604530334
1.0666667222976685,0.4045933783054352
1.0,0.4213525354862213
1.0,0.4274604320526123
1.0,0.4268047511577606
1.0,0.4328104257583618
1.0,0.4170086085796356
1.0,0.42211079597473145
1.0,0.40826597809791565
1.0,0.3805023431777954
1.0,0.3926723003387451
1.0,0.3905240595340729
1.0,0.3918180763721466
1.0,0.39102494716644287
1.0,0.3848845958709717
1.0,0.38144052028656006
1.0,0.38128209114074707
1.0,0.3831416368484497
1.0,0.38630983233451843
1.0,0.38144198060035706
1.0,0.3970572054386139
1.0,0.4018716514110565
1.5333333015441895,0.38989028334617615
3.0,0.4013954699039459
3.0,0.40681132674217224
3.0,0.4047025740146637
3.0,0.4016568660736084
3.0,0.4005075991153717
3.0,0.3925769329071045
3.0,0.391275018453598
3.0,0.39145371317863464
3.0,0.3916686773300171
3.0,0.392683744430542
3.0,0.3920535147190094
3.0,0.3962195813655853
3.0,0.39549699425697327
3.0,0.39676037430763245
3.0,0.39615094661712646
3.0,0.394319087266922
3.0,0.3936769664287567
3.0,0.3947015702724457
3.0,0.3949950039386749
3.0,0.3986887037754059
3.0,0.3948732316493988
3.0,0.39277705550193787
3.0,0.39272913336753845
3.933333396911621,0.39420226216316223
4.0,0.3936237096786499
4.0,0.3929493725299835
3.4000000953674316,0.39500197768211365
3.0,0.39273062348365784
3.0,0.4056905210018158
3.0,0.41830506920814514
3.0,0.40030232071876526
3.0,0.4088216722011566
3.0,0.3956568241119385
3.0,0.3949960172176361
3.0,0.39829251170158386
3.0,0.3950355350971222
1.7999999523162842,0.3948255479335785
1.0,0.3989858627319336
1.0,0.38078585267066956
1.2666666507720947,0.399682879447937
2.0,0.3953882157802582
2.0,0.3942807614803314
2.0,0.3947932720184326
2.0,0.3952651023864746
2.0,0.39522457122802734
2.0,0.395011305809021
