epoch,train_loss,test_loss,person,person_p,spearman,spearman_p,rmse
1,3.7197558879852295,3.179950475692749,0.09319320683838062,1.513937943207844e-10,0.13223918569687848,8.443461019903264e-20,1.9633023738861084
2,3.5442018508911133,3.101797103881836,0.10770933811534258,1.2927180644202232e-13,0.14366481704538483,4.0745657258396026e-23,1.9623461961746216
3,3.3872828483581543,3.0476949214935303,0.1179331676131136,4.869387792841954e-16,0.14972170448247116,5.472585749702277e-25,1.9611296653747559
4,3.250176429748535,3.019960880279541,0.12330659279836015,2.1162277794611465e-17,0.15071777812453263,2.647026187007392e-25,1.9596887826919556
5,3.1331887245178223,3.013040065765381,0.124382846127822,1.1103628923889518e-17,0.14672912762856627,4.709282520863421e-24,1.958065390586853
6,3.0345842838287354,3.02122163772583,0.12235824146739924,3.718315297067622e-17,0.13964381478007254,6.4434916195833e-22,1.9563055038452148
7,2.9532217979431152,3.0381829738616943,0.11857506656968073,3.3727093380199164e-16,0.13123297200732387,1.6040765244967727e-19,1.9544494152069092
8,2.8878931999206543,3.063584804534912,0.11301489923920707,7.60071347264023e-15,0.1228946722521107,2.7046961243337942e-17,1.9524610042572021
9,2.8347063064575195,3.0946338176727295,0.1064847907937444,2.4390106179370833e-13,0.11533343715723109,2.1115187090508677e-15,1.9503096342086792
10,2.792445659637451,3.1305184364318848,0.09890962490899334,1.0559651112535917e-11,0.10911186612576533,6.192810158406863e-14,1.9478813409805298
11,2.7575345039367676,3.1657166481018066,0.09166457090500324,3.005930869166633e-10,0.10435632875388663,7.228166675394133e-13,1.945550560951233
12,2.733038902282715,3.187450885772705,0.08726866284634661,2.031938118887749e-09,0.10104260149865076,3.757368161907124e-12,1.9440674781799316
13,2.711992025375366,3.1995458602905273,0.08493399033355577,5.403166329628233e-09,0.0989038464020887,1.0588942102187717e-11,1.943583607673645
14,2.6883761882781982,3.20438551902771,0.08409153379749484,7.64166605101789e-09,0.0976439257458473,1.9297708861242727e-11,1.9436677694320679
15,2.664313554763794,3.203402280807495,0.0843890366342205,6.763815666141768e-09,0.09718870140164489,2.392643768664173e-11,1.94400155544281
16,2.6409919261932373,3.1993470191955566,0.08521179384240907,4.816045894809633e-09,0.09762031668599833,1.9514560168806633e-11,1.9441267251968384
17,2.6190288066864014,3.193100929260254,0.08632037175697868,3.0322773821823743e-09,0.09897614872285233,1.0228107417344224e-11,1.9439423084259033
18,2.5981948375701904,3.1849565505981445,0.08764676266782907,1.7301297994996387e-09,0.10109206688194763,3.667456634470821e-12,1.9433239698410034
19,2.577871799468994,3.172156572341919,0.08961684637435804,7.404537181247816e-10,0.1039874304876289,8.706539672927645e-13,1.941972017288208
20,2.5575687885284424,3.1521456241607666,0.09270845449766786,1.8840225254109914e-10,0.10744646413297711,1.4823590958743968e-13,1.939920425415039
